['data/subset_interactions_edgecases.tsv']
         2366545 function calls (2328730 primitive calls) in 2.216 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.241    0.004    0.241    0.004 {method 'read' of '_ssl._SSLSocket' objects}
     1009    0.077    0.000    0.077    0.000 {built-in method marshal.loads}
    10668    0.070    0.000    0.248    0.000 memory.py:315(add)
    10668    0.058    0.000    0.062    0.000 events.py:42(__init__)
        2    0.057    0.028    0.057    0.028 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      140    0.048    0.000    2.452    0.018 __init__.py:1(<module>)
    14543    0.044    0.000    0.051    0.000 notation3.py:1373(qname)
        1    0.043    0.043    0.043    0.043 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
306566/306565    0.042    0.000    0.044    0.000 {built-in method builtins.isinstance}
        2    0.040    0.020    0.040    0.020 {method 'connect' of '_socket.socket' objects}
    68702    0.037    0.000    0.044    0.000 notation3.py:539(tok)
    14473    0.034    0.000    0.147    0.000 notation3.py:1216(uri_ref2)
   119988    0.034    0.000    0.034    0.000 __init__.py:135(_days_in_month)
    69305    0.033    0.000    0.062    0.000 notation3.py:1292(skipSpace)
14914/11478    0.031    0.000    0.333    0.000 notation3.py:912(node)
    26697    0.029    0.000    0.064    0.000 notation3.py:1911(normalise)
    35837    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
        2    0.027    0.013    0.027    0.013 {built-in method _socket.getaddrinfo}
    39168    0.025    0.000    0.025    0.000 term.py:154(__eq__)
    10668    0.024    0.000    0.061    0.000 memory.py:595(__add_triple_context)
1828/1803    0.024    0.000    0.110    0.000 {built-in method builtins.__build_class__}
    11253    0.024    0.000    0.062    0.000 memory.py:415(triples)
 1361/870    0.023    0.000    0.701    0.001 notation3.py:1108(property_list)
        1    0.020    0.020    0.037    0.037 packstream.py:1(<module>)
     1009    0.019    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
33683/33573    0.019    0.000    0.021    0.000 {built-in method __new__ of type object at 0xa5e240}
     4597    0.018    0.000    0.018    0.000 {built-in method posix.stat}
137148/135060    0.017    0.000    0.018    0.000 {built-in method builtins.len}
    10668    0.017    0.000    0.082    0.000 store.py:243(add)
    69/66    0.017    0.000    0.022    0.000 {built-in method _imp.create_dynamic}
     8899    0.016    0.000    0.319    0.000 notation3.py:1885(makeStatement)
   131436    0.016    0.000    0.016    0.000 {built-in method _struct.pack}
     6641    0.016    0.000    0.127    0.000 notation3.py:787(verb)
    33732    0.016    0.000    0.027    0.000 {method 'add' of 'set' objects}
    25998    0.016    0.000    0.040    0.000 term.py:268(__new__)
    16141    0.015    0.000    0.015    0.000 {method 'format' of 'str' objects}
    14386    0.015    0.000    0.031    0.000 memory.py:687(__ctx_to_str)
  905/177    0.015    0.000    0.036    0.000 _parser.py:505(_parse)
    25998    0.014    0.000    0.014    0.000 term.py:90(_is_valid_uri)
14914/11478    0.014    0.000    0.379    0.000 notation3.py:1514(nodeOrLiteral)
     4167    0.014    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
     1011    0.014    0.000    0.014    0.000 {built-in method _io.open_code}
    69420    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
    10668    0.012    0.000    0.264    0.000 graph.py:529(add)
    29371    0.012    0.000    0.012    0.000 term.py:1217(__hash__)
     1552    0.011    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
    36048    0.011    0.000    0.015    0.000 {method 'get' of 'dict' objects}
    69/42    0.011    0.000    0.046    0.001 {built-in method _imp.exec_dynamic}
     1018    0.011    0.000    0.203    0.000 {method 'read' of '_io.BufferedReader' objects}
     2180    0.011    0.000    0.031    0.000 term.py:606(__new__)
    11194    0.010    0.000    0.029    0.000 term.py:341(__add__)
     2303    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap>:304(acquire)
    11253    0.009    0.000    0.072    0.000 graph.py:580(triples)
     1289    0.009    0.000    0.020    0.000 backends.py:658(__new__)
      455    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
   1077/1    0.009    0.000    2.217    2.217 {built-in method builtins.exec}
     8658    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      752    0.008    0.000    0.011    0.000 _compiler.py:241(_optimize_charset)
     1150    0.008    0.000    0.073    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
14914/11478    0.008    0.000    0.385    0.000 notation3.py:882(path)
    21442    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     1929    0.008    0.000    0.045    0.000 _ontology.py:322(_get_nx_id_and_label)
    38691    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    37043    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
6641/4746    0.007    0.000    0.318    0.000 notation3.py:1189(objectList)
     1010    0.007    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
 1608/168    0.007    0.000    0.021    0.000 _compiler.py:37(_compile)
     2180    0.007    0.000    0.011    0.000 term.py:1924(_castPythonToLiteral)
      320    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
     7535    0.007    0.000    0.012    0.000 memory.py:648(__get_context_for_triple)
     1770    0.006    0.000    0.009    0.000 digraph.py:666(add_edge)
     2020    0.006    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
   1160/7    0.006    0.000    0.860    0.123 <frozen importlib._bootstrap>:1343(_find_and_load)
    12351    0.006    0.000    0.023    0.000 notation3.py:1837(newSymbol)
        1    0.006    0.006    0.025    0.025 relabel.py:130(_relabel_inplace)
