         2321360 function calls (2294717 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.037    0.001    0.037    0.001 {method 'read' of '_ssl._SSLSocket' objects}
310897/310757    0.024    0.000    0.034    0.000 {built-in method builtins.isinstance}
    10668    0.021    0.000    0.068    0.000 memory.py:313(add)
    14543    0.019    0.000    0.022    0.000 notation3.py:1386(qname)
        2    0.018    0.009    0.018    0.009 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    68702    0.017    0.000    0.020    0.000 notation3.py:552(tok)
        4    0.016    0.004    0.072    0.018 _batch_writer.py:1154(_write_single_edge_list_to_file)
    69305    0.013    0.000    0.023    0.000 notation3.py:1305(skipSpace)
    26697    0.013    0.000    0.028    0.000 notation3.py:1924(normalise)
14914/11478    0.013    0.000    0.139    0.000 notation3.py:925(node)
        2    0.013    0.006    0.013    0.006 {method 'connect' of '_socket.socket' objects}
    14473    0.012    0.000    0.060    0.000 notation3.py:1229(uri_ref2)
    41038    0.010    0.000    0.010    0.000 term.py:167(__eq__)
    93201    0.009    0.000    0.011    0.000 {method 'get' of 'dict' objects}
     2618    0.009    0.000    0.015    0.000 _translate.py:157(_filter_props)
    35437    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
    10668    0.008    0.000    0.022    0.000 memory.py:591(__add_triple_context)
        1    0.008    0.008    0.014    0.014 _batch_writer.py:867(_write_single_node_list_to_file)
 1361/870    0.008    0.000    0.263    0.000 notation3.py:1121(property_list)
     8765    0.007    0.000    0.025    0.000 memory.py:411(triples)
     1728    0.007    0.000    0.018    0.000 digraph.py:748(add_edges_from)
    42668    0.007    0.000    0.012    0.000 {method 'add' of 'set' objects}
    90343    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    25905    0.007    0.000    0.017    0.000 term.py:286(__new__)
115798/113902    0.007    0.000    0.007    0.000 {built-in method builtins.len}
    25905    0.006    0.000    0.006    0.000 term.py:104(_is_valid_uri)
    24507    0.006    0.000    0.008    0.000 _mixins.py:287(__getitem__)
     6641    0.006    0.000    0.052    0.000 notation3.py:800(verb)
     8899    0.006    0.000    0.110    0.000 notation3.py:1898(makeStatement)
     8357    0.006    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
    15103    0.006    0.000    0.012    0.000 memory.py:681(__ctx_to_str)
    10668    0.006    0.000    0.011    0.000 store.py:236(add)
    84971    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
14914/11478    0.005    0.000    0.156    0.000 notation3.py:1527(nodeOrLiteral)
    39768    0.005    0.000    0.010    0.000 <frozen abc>:117(__instancecheck__)
    30805    0.005    0.000    0.005    0.000 term.py:1313(__hash__)
    10668    0.005    0.000    0.085    0.000 graph.py:617(add)
    32871    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
    15142    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
        1    0.005    0.005    0.010    0.010 c_parser_wrapper.py:203(read)
    39768    0.004    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
     1619    0.004    0.000    0.017    0.000 adapter_omnipath_networks.py:187(get_nodes)
    11194    0.004    0.000    0.011    0.000 term.py:358(__add__)
     1618    0.004    0.000    0.007    0.000 _create.py:52(__post_init__)
     6046    0.004    0.000    0.007    0.000 depth_first_search.py:18(dfs_edges)
     1000    0.004    0.000    0.004    0.000 adapter_omnipath_networks.py:461(_generate_properties)
     2180    0.004    0.000    0.012    0.000 term.py:641(__new__)
     1001    0.004    0.000    0.020    0.000 adapter_omnipath_networks.py:207(get_edges)
    40809    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
    15091    0.003    0.000    0.005    0.000 _neo4j.py:66(_quote_string)
     8252    0.003    0.000    0.006    0.000 memory.py:644(__get_context_for_triple)
    15297    0.003    0.000    0.006    0.000 _misc.py:214(<lambda>)
    10669    0.003    0.000    0.005    0.000 events.py:55(__init__)
14914/11478    0.003    0.000    0.158    0.000 notation3.py:895(path)
    29579    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
    24333    0.003    0.000    0.010    0.000 base.py:559(__iter__)
6641/4746    0.003    0.000    0.132    0.000 notation3.py:1202(objectList)
     1001    0.003    0.000    0.044    0.000 _batch_writer.py:526(_get_all_labels)
    12351    0.003    0.000    0.011    0.000 notation3.py:1850(newSymbol)
     8765    0.003    0.000    0.029    0.000 graph.py:672(triples)
14914/11478    0.003    0.000    0.160    0.000 notation3.py:889(item)
     8252    0.002    0.000    0.008    0.000 memory.py:702(__contexts)
     2180    0.002    0.000    0.004    0.000 term.py:2091(_castPythonToLiteral)
    10668    0.002    0.000    0.004    0.000 graph.py:803(__hash__)
    29265    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     8811    0.002    0.000    0.004    0.000 __init__.py:280(_compile)
        1    0.002    0.002    0.010    0.010 relabel.py:130(_relabel_inplace)
     1435    0.002    0.000    0.013    0.000 _ontology.py:322(_get_nx_id_and_label)
     1775    0.002    0.000    0.003    0.000 digraph.py:677(add_edge)
    40874    0.002    0.000    0.002    0.000 graph.py:550(identifier)
     1619    0.002    0.000    0.030    0.000 _translate.py:75(translate_nodes)
     8627    0.002    0.000    0.109    0.000 notation3.py:780(makeStatement)
9497/7602    0.002    0.000    0.136    0.000 notation3.py:1494(object)
     1618    0.002    0.000    0.006    0.000 _batch_writer.py:784(consume)
